Driver Name,Version,Driver ID,Driver Channel
"Aqara Presence Sensor","2025-07-28T20:45:03.83690244","01976eca-e7ff-4d1b-91db-9c980ce668d7",
"bose","2024-01-30T21:36:15.547412569","c856a3fd-69ee-4478-a224-d7279b6d978f",
"DEEPSMART KNX GATEWAY","2024-10-21T19:06:49.949052991","9050ac53-358c-47a1-a927-9a70f5f28cee",
"Harman Luxury","2024-10-10T18:17:35.032104982","4eb5b19a-7bbc-452f-859b-c6d7d857b2da",
"JBL","2025-02-03T22:38:47.582952919","7beb8bc2-8dfa-45c2-8fdb-7373d4597b12",
"Philips Hue","2026-01-26T23:44:30.725006043","cd898d81-6c27-4d27-a529-dfadc8caae5a",
"SamsungAudio","2024-10-10T18:17:54.195543653","dbe192cb-f6a1-4369-a843-d1c42e5c91ba",
"SCU200 InSite Energy Management System","2026-02-23T19:23:15.380515276","3c406551-6b3e-456c-9971-194880f4d883",
"Sonos","2026-04-29T16:39:22.903369246","c21a6c77-872c-474e-be5b-5f6f11a240ef",
"Wemo","2025-03-10T21:36:12.512604403","d9c3f8b8-c3c3-4b77-9ddd-01d08102c84b",